"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"114" 1 0 2 23.6 17 77 9 226 359
"115" 1 0 1 15.1 3 46 39 40 51
"116" 3 1 3 31.1 26 79 9 73 178
"117" 2 1 2 30.2 25 65 13 53 155
"118" 4 1 2 18.9 12 67 6 45 160
"119" 1 1 2 12.3 4 87 6 5 47
"120" 4 0 2 18 11 87 20 40 210
"121" 1 1 2 21.7 15 94 9 10 95
"122" 3 0 1 36.8 31 36 6 144 213
"123" 3 0 1 42.4 43 42 20 120 269
"124" 4 0 1 18 11 62 7 107 123
"125" 4 0 1 15.1 6 81 11 48 206
"126" 3 0 1 35.8 30 46 20 101 189
"127" 3 0 1 33.9 28 42 0 122 209
"128" 3 1 1 37.7 33 48 24 90 89
"129" 2 1 1 29.2 25 38 33 71 168
"130" 3 1 1 34.9 28 33 0 79 202
"131" 3 1 1 36.8 34 55 6 42 99
"132" 4 0 1 27.4 25 43 15 222 369
"133" 2 1 3 20.8 14 47 17 14 105
"134" 4 1 1 18 11 47 20 66 185
"135" 2 1 1 23.6 17 48 0 46 183
"136" 4 0 1 18.9 12 41 6 89 143
"137" 4 0 2 11.4 1 41 15 49 155
"138" 3 0 1 33.9 30 70 11 174 163
"139" 3 1 1 35.8 32 55 17 47 171
"140" 4 1 2 22.7 16 51 6 78 156
"141" 1 1 2 15.1 7 87 7 2 73
"142" 2 1 1 30.2 25 69 9 56 174
"143" 4 0 2 16.1 6 46 26 56 284
"144" 1 0 1 16.1 7 62 9 33 92
"145" 1 1 1 10.4 -4 38 41 12 102
"146" 2 0 1 29.2 25 53 9 173 245
"147" 3 0 1 34.9 30 55 19 147 244
"148" 2 1 1 32.1 27 54 9 55 212
"149" 3 1 2 28.3 22 83 11 42 138
"150" 2 0 1 33 29 66 15 268 251
"151" 1 1 2 16.1 6 34 24 17 170
"152" 2 1 2 34.9 30 52 17 38 113
"153" 4 0 1 20.8 14 59 9 180 324
"154" 3 0 1 40.5 35 30 17 102 350
"155" 3 0 1 38.6 37 53 17 74 169
"156" 2 0 1 30.2 25 36 22 258 323
"157" 3 0 1 29.2 25 47 11 183 376
"158" 2 1 1 30.2 25 50 13 106 180
"159" 2 0 1 28.3 25 41 6 157 365
"160" 4 0 1 25.5 19 52 20 156 338
"161" 1 1 2 24.5 18 60 31 48 156
"162" 4 0 2 28.3 22 83 6 118 268
"163" 1 0 1 6.7 -6 59 17 21 158
"164" 2 0 1 28.3 25 57 17 150 278
"165" 3 1 1 33 27 37 15 38 110
"166" 2 0 3 17 10 87 20 7 70
"167" 3 0 1 32.1 27 58 26 59 178
"168" 1 1 1 13.3 4 56 11 8 130
"169" 1 0 2 7.6 -3 64 9 4 60
"170" 4 0 1 16.1 8 46 7 69 169
"171" 3 1 2 38.6 37 53 22 45 156
"172" 3 1 1 34.9 0 52 19 98 205
"173" 2 0 1 20.8 14 41 28 119 185
"174" 1 0 1 13.3 4 56 9 55 241
"175" 2 1 1 18 11 37 20 112 179
"176" 4 1 1 21.7 15 55 35 30 99
"177" 1 0 1 19.8 13 41 28 88 93
"178" 4 1 2 33 28 51 11 67 227
"179" 1 0 1 14.2 3 39 24 9 62
"180" 4 1 1 20.8 14 36 0 76 175
"181" 1 1 2 12.3 0 56 30 23 80
"182" 2 1 2 18.9 12 82 13 4 57
"183" 4 0 1 25.5 19 35 19 159 218
"184" 3 1 1 34.9 29 48 6 86 192
"185" 2 0 1 28.3 25 38 6 235 351
"186" 4 0 2 12.3 1 45 22 21 188
"187" 4 1 1 14.2 4 70 17 22 133
"188" 1 0 1 6.7 -6 47 15 21 144
"189" 3 1 1 36.8 34 55 7 54 162
"190" 2 1 1 26.4 20 73 20 34 96
"191" 4 1 2 15.1 5 57 15 22 168
"192" 4 1 3 23.6 17 94 17 33 116
"193" 3 0 1 43.3 42 38 13 122 245
"194" 4 1 1 25.5 19 63 0 80 150
"195" 4 0 2 30.2 24 78 9 131 230
"196" 2 1 1 20.8 14 36 9 75 158
"197" 1 1 2 28.3 25 41 11 65 155
"198" 4 1 2 27.4 23 73 11 31 92
"199" 1 1 2 14.2 3 57 26 8 71
"200" 1 1 2 19.8 13 77 0 10 135
"201" 3 1 1 34.9 28 35 15 53 117
"202" 2 1 1 18.9 12 47 20 50 174
"203" 2 1 2 13.3 2 81 20 10 61
"204" 1 0 1 13.3 6 70 0 46 224
"205" 1 1 2 5.7 -6 43 11 1 40
"206" 3 0 1 36.8 36 63 19 132 181
"207" 1 1 2 11.4 0 70 19 5 81
"208" 2 0 2 33 28 58 6 141 236
"209" 1 1 1 6.7 -1 64 0 7 43
"210" 1 1 2 25.5 19 64 20 13 74
"211" 4 1 1 29.2 25 57 6 49 168
"212" 1 0 1 13.3 4 70 11 43 42
"213" 1 1 2 16.1 8 81 7 27 136
"214" 4 0 2 17 10 66 17 74 218
"215" 2 1 2 25.5 19 83 28 26 104
"216" 3 1 3 32.1 28 84 11 10 52
"217" 2 1 2 24.5 18 52 6 36 87
"218" 2 1 2 14.2 3 70 24 10 91
"219" 2 0 1 32.1 27 54 13 164 209
"220" 4 1 1 15.1 5 46 17 9 115
"221" 3 1 2 33 29 62 17 41 112
"222" 3 1 1 41.5 43 50 7 23 86
"223" 1 0 1 12.3 2 28 15 57 198
"224" 1 1 1 25.5 19 43 13 19 149
"225" 3 1 1 30.2 25 57 15 79 242
"226" 2 0 2 18 11 47 11 72 126
"227" 2 1 2 31.1 26 61 20 33 117
"228" 3 1 3 25.5 19 88 11 8 48
"229" 1 1 2 8.6 -1 93 6 5 57
"230" 1 0 2 13.3 4 33 11 72 89
"231" 4 1 1 22.7 16 45 15 39 135
"232" 4 1 2 18 11 87 6 22 148
"233" 1 0 1 19.8 13 16 39 47 76
"234" 3 1 1 30.2 25 65 7 90 151
"235" 4 1 1 18 11 66 7 99 127
"236" 2 0 1 26.4 20 49 6 142 198
"237" 3 1 1 34.9 28 37 6 83 191
"238" 1 1 1 9.5 -1 37 13 5 85
"239" 4 0 1 17 10 46 15 134 311
"240" 1 1 2 16.1 7 25 11 26 52
"241" 2 0 1 37.7 35 52 0 153 168
"242" 4 1 2 22.7 16 72 11 59 109
"243" 1 1 1 6.7 -5 55 11 6 93
"244" 1 1 2 19.8 13 77 0 40 167
"245" 2 1 1 23.6 17 36 30 43 105
"246" 3 0 1 39.6 37 47 17 155 315
"247" 2 1 1 19.8 13 51 22 22 64
"248" 1 0 1 15.1 4 49 22 36 83
"249" 4 1 2 22.7 16 72 28 9 107
"250" 4 1 2 25.5 19 78 11 68 222
"251" 1 1 2 11.4 3 87 6 9 90
"252" 1 1 2 11.4 3 56 6 6 82
"253" 2 0 2 23.6 17 94 9 72 207
"254" 2 1 1 21.7 15 23 0 91 167
"255" 1 1 1 11.4 1 41 11 20 110
"256" 1 1 2 16.1 7 81 9 13 62
"257" 1 1 2 11.4 2 56 9 17 86
"258" 3 1 2 30.2 25 74 7 51 141
"259" 1 1 1 3.9 -8 46 9 3 43
"260" 3 1 2 29.2 22 89 13 23 142
"261" 1 1 2 10.4 1 60 6 23 99
"262" 1 1 1 15.1 4 34 20 7 59
"263" 3 1 1 32.1 27 58 13 34 131
"264" 2 0 1 12.3 2 38 11 75 93
"265" 2 0 1 22.7 16 25 19 195 209
"266" 3 1 1 34.9 31 58 0 54 170
"267" 4 1 1 14.2 4 70 17 15 121
"268" 1 1 3 7.6 -2 93 7 0 30
"269" 4 1 1 18.9 12 41 28 42 179
"270" 3 1 2 31.1 26 65 9 39 120
"271" 4 1 1 19.8 13 67 13 12 108
"272" 3 1 1 33 27 37 13 60 115
"273" 2 0 1 27.4 22 78 15 120 202
"274" 3 1 1 30.2 25 47 11 38 100
"275" 3 1 3 32.1 28 79 0 39 112
"276" 4 1 1 12.3 2 52 17 6 100
"277" 2 1 1 32.1 26 42 17 65 199
"278" 2 0 3 18.9 12 94 30 4 27
"279" 2 0 2 22.7 16 94 13 98 175
"280" 2 1 1 18.9 12 38 26 23 70
"281" 2 0 1 33 29 66 9 254 222
"282" 1 0 1 14.2 3 45 26 64 192
"283" 2 0 1 32.1 27 58 6 221 354
"284" 1 0 2 16.1 6 71 17 16 54
"285" 2 1 3 15.1 6 66 13 23 83
"286" 2 1 1 18.9 12 47 30 81 128
"287" 3 0 2 33.9 30 70 19 187 272
"288" 2 1 1 26.4 20 49 15 77 202
"289" 1 0 2 18 11 87 6 33 181
"290" 4 1 3 13.3 2 87 20 6 59
"291" 3 1 2 41.5 40 42 19 51 137
"292" 1 1 1 19.8 13 44 15 39 111
"293" 4 1 2 15.1 7 53 6 31 170
"294" 2 1 1 29.2 24 73 15 53 94
"295" 1 1 1 19.8 13 72 11 31 82
"296" 4 1 1 18 11 50 13 43 198
"297" 2 0 1 29.2 25 41 17 199 312
"298" 2 1 2 29.2 23 78 19 53 103
"299" 1 0 2 18 11 76 15 43 116
"300" 3 1 2 33.9 29 58 7 29 93
"301" 2 1 1 19.8 13 38 22 47 186
"302" 2 1 1 31.1 26 79 9 90 193
"303" 1 1 1 16.1 6 46 24 18 93
"304" 4 1 1 26.4 20 46 0 76 196
"305" 2 0 2 29.2 24 69 7 121 214
"306" 1 0 2 18.9 12 100 15 18 44
"307" 3 1 1 37.7 35 52 11 39 86
"308" 2 1 1 29.2 23 78 13 38 186
"309" 2 1 1 27.4 25 33 28 65 174
"310" 1 1 1 9.5 -4 41 31 6 53
"311" 2 1 1 27.4 25 46 15 26 99
"312" 4 1 3 14.2 4 66 22 4 93
"313" 4 1 3 28.3 18 100 7 1 20
"314" 4 1 3 24.5 18 94 22 18 102
"315" 4 0 1 18.9 12 35 9 192 335
"316" 4 1 1 22.7 16 45 28 56 172
"317" 2 1 1 22.7 16 45 28 54 166
"318" 4 0 2 22.7 16 51 26 110 352
"319" 4 1 2 14.2 3 51 24 15 132
"320" 2 1 2 24.5 18 68 11 19 53
"321" 2 1 1 13.3 3 45 19 17 58
"322" 1 1 1 23.6 17 77 30 9 50
"323" 3 0 1 38.6 33 39 15 162 295
"324" 4 0 1 16.1 9 40 0 50 183
"325" 4 1 3 20.8 14 94 6 7 53
"326" 4 0 2 10.4 -1 60 15 20 168
"327" 2 1 1 30.2 25 65 9 61 160
"328" 2 1 1 33.9 28 51 15 33 142
"329" 2 1 2 24.5 18 94 6 6 17
"330" 4 0 1 18.9 12 41 20 52 90
"331" 2 1 1 31.1 26 69 17 43 138
"332" 3 0 2 27.4 21 83 17 80 225
"333" 2 1 2 30.2 25 65 22 20 120
"334" 2 0 1 34.9 29 45 6 184 315
"335" 1 1 1 11.4 -1 33 22 12 34
"336" 4 0 3 11.4 -1 93 26 1 26
"337" 2 1 2 23.6 17 94 0 53 166
"338" 4 1 2 16.1 8 87 6 17 106
"339" 3 0 1 40.5 37 39 15 121 256
"340" 4 0 2 18 11 87 7 63 341
"341" 2 0 1 20.8 14 51 0 128 283
"342" 2 1 1 30.2 25 47 15 67 170
"343" 4 1 2 32.1 27 70 7 38 176
"344" 1 1 1 13.3 6 49 0 6 78
"345" 1 0 1 13.3 6 45 0 26 100
"346" 3 1 1 37.7 35 52 7 59 167
"347" 3 1 2 33 30 74 0 24 103
"348" 4 1 2 15.1 4 42 20 9 135
"349" 1 1 1 9.5 1 44 6 2 57
"350" 1 1 1 9.5 -1 47 9 12 52
"351" 1 0 1 14.2 3 39 30 26 86
"352" 3 1 1 38.6 37 53 15 57 125
"353" 1 1 1 24.5 18 52 19 55 104
"354" 1 1 1 7.6 -7 37 35 12 63
"355" 2 1 1 34.9 31 62 20 50 147
"356" 3 0 1 34.9 30 55 15 183 326
"357" 4 1 1 30.2 24 78 11 52 178
"358" 2 1 2 24.5 18 88 11 25 96
"359" 3 1 2 33.9 31 74 17 61 104
"360" 3 0 1 34.9 29 40 9 215 291
"361" 2 1 2 30.2 25 54 30 64 182
"362" 4 1 1 13.3 4 36 9 18 122
"363" 4 0 2 22.7 16 63 7 74 212
"364" 2 0 1 33 29 62 9 134 270
"365" 1 0 2 8.6 -4 69 26 2 60
"366" 4 1 1 18.9 12 77 7 28 100
"367" 1 0 1 12.3 1 41 24 29 130
"368" 3 1 1 32.1 27 61 11 33 120
"369" 4 1 1 23.6 17 59 22 23 132
"370" 4 0 1 23.6 17 72 11 112 255
"371" 4 1 1 18 11 50 13 121 130
"372" 3 1 2 29.2 21 94 15 16 82
"373" 4 1 1 11.4 1 48 11 16 162
"374" 3 1 1 34.9 29 45 7 49 166
"375" 4 1 2 25.5 19 56 15 79 189
"376" 2 1 1 29.2 24 73 0 46 151
"377" 4 1 2 25.5 19 64 13 18 116
"378" 2 1 2 24.5 18 73 13 64 149
"379" 3 0 1 38.6 33 36 13 111 206
"380" 2 1 1 33.9 28 42 9 39 72
"381" 1 1 2 8.6 -4 32 24 6 117
"382" 1 1 1 11.4 -2 48 30 19 41
"383" 2 1 2 37.7 37 59 15 26 86
"384" 2 1 1 28.3 24 69 6 31 87
"385" 3 0 1 37.7 39 63 0 113 156
"386" 4 1 2 14.2 4 49 15 24 148
"387" 2 0 1 28.3 25 57 7 196 350
"388" 3 0 1 34.9 31 62 30 173 405
"389" 1 0 1 8.6 -3 55 15 18 54
"390" 4 1 2 23.6 17 68 7 11 107
"391" 1 1 1 16.1 7 46 13 9 120
"392" 1 0 1 13.3 2 33 22 56 218
"393" 2 1 2 27.4 25 43 24 61 152
"394" 3 0 2 33.9 30 70 0 226 263
"395" 1 0 2 6.7 -6 55 13 9 55
"396" 2 1 3 30.2 24 83 24 8 57
"397" 3 1 1 33.9 30 70 11 37 108
"398" 3 0 2 34.9 30 55 6 177 172
"399" 3 0 1 30.2 25 47 17 194 391
"400" 2 1 2 18 11 62 26 19 79
